Gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,neg_log10_padj
SPARC,2157.870339,5366.744626,731.7039895,0.136340378,-2.87471521,7.52e-18,2.82e-16,15.55021721
COL16A1,333.8907794,983.6162743,45.12389277,0.045875504,-4.446132168,3.96e-16,1.24e-14,13.90670727
COL12A1,753.579234,2353.140434,42.66314501,0.018130301,-5.785453291,2.3599999999999998e-30,2.83e-28,27.54804308
SERPINE1,623.6683234,74.20737163,867.8731908,11.69524229,3.547849845,3.3200000000000002e-21,1.62e-19,18.79069864
ITGA2B,269.4462427,15.75729266,382.1968872,24.25523823,4.600224444,1.82e-20,8.3e-19,18.08099049
ICAM2,902.8587954,416.0493465,1119.21855,2.690110103,1.427665222,9.23e-06,7.27e-05,4.138445571
LOXL3,266.043487,139.2613507,322.3911031,2.315007729,1.21101701,0.004688526,0.018967896,1.721980834
ICAM4,162.0748037,25.30125929,222.8630457,8.808377602,3.138876316,2.21e-09,3.19e-08,7.496604433
PLOD2,387.7812547,686.6449046,254.9529659,0.371302494,-1.429333087,0.000186844,0.001099573,2.958775926
ICAM5,125.7475708,23.26095807,171.2971765,7.364149659,2.880518946,3.67e-07,3.76e-06,5.424421382
EFEMP1,759.5442526,212.6209794,1002.621263,4.715533085,2.237420875,1.3e-11,2.54e-10,9.59584453
CAPN6,105.1536219,339.7089601,0.906804934,0.002669358,-8.549291314,5.37e-13,1.23e-11,10.90984612
KDR,260.8946169,749.165907,43.88515462,0.058578686,-4.093480352,6.41e-14,1.65e-12,11.78342645
CAPN3,977.1792277,433.146372,1218.971608,2.814225598,1.492737985,9.38e-06,7.37e-05,4.132325368
COL27A1,283.5689625,850.7104498,31.50607922,0.037035021,-4.754966042,3.8e-16,1.19e-14,13.92345839
ACTN1,3092.77699,1780.495257,3676.013316,2.064601577,1.0458634,0.001004233,0.004969055,2.303726235
PRKCA,1193.766242,569.2456965,1471.330929,2.58470277,1.369998386,8.98e-06,7.11e-05,4.147883884
PCOLCE,158.510794,307.4016173,92.33709482,0.30037934,-1.735142508,0.000664619,0.003434067,2.464191269
HSPG2,1590.75548,4359.639659,360.1402888,0.082607811,-3.597577988,2.47e-22,1.37e-20,19.86438164
COL4A2,1460.492316,4700.702845,20.39874736,0.00433951,-7.848252111,9.37e-49,5.7099999999999995e-46,45.24312844
COL4A1,1579.317086,4989.979896,63.46694768,0.012718878,-6.296884732,5.66e-38,1.28e-35,34.89276731
ADAM12,142.7089356,424.640201,17.40615098,0.040990351,-4.608571838,1.03e-10,1.76e-09,8.75432844
COL8A2,254.2214838,516.5963399,137.6104366,0.266379039,-1.908447532,2.26e-05,0.000162968,3.787896993
ADAM9,1092.785656,559.5910464,1329.761038,2.37630864,1.248722229,0.000165376,0.00098272,3.007570082
ADAM8,1246.794955,413.8650317,1616.986031,3.907037095,1.966074953,8.02e-09,1.06e-07,6.973887824
COL17A1,1134.376664,3259.96809,189.6693642,0.058181356,-4.103299268,2.96e-25,2.1499999999999997e-23,22.66718441
FBN2,609.038307,1075.012149,401.9388215,0.373892353,-1.419305132,3.82e-06,3.26e-05,4.4868751
SDC4,136.8251738,243.9553498,89.21176224,0.365688895,-1.451311279,0.008227067,0.030721106,1.512563158
